"TOA5","Los Pen","CR800","39465","CR800.Std.29","CPU:SWM1000SP_Hach950_rev5-pulled from filter 03032016.CR8","21031","hourly"
"TIMESTAMP","RECORD","BatVolts_Min","Flow_950_Tot","battery_coms_fail_cntr","level_coms_fail_cntr","flow_coms_fail_cntr","flow_tot_coms_fail_cntr","ModbusInterval"
"TS","RN","volts","cfs","","","","",""
"","","Min","Tot","Smp","Smp","Smp","Smp","Smp"
"2016-10-26 22:00:00",233,12.69,792.299,1970,1970,1969,1969,1
"2016-10-26 23:00:00",234,12.68,781.8911,1970,1970,1969,1969,1
"2016-10-27 00:00:00",235,12.67,771.6492,1970,1970,1969,1969,1
"2016-10-27 01:00:00",236,12.66,733.7478,1970,1970,1969,1969,1
"2016-10-27 02:00:00",237,12.66,736.0795,1970,1970,1969,1969,1
"2016-10-27 03:00:00",238,12.65,714.6028,1970,1970,1969,1969,1
"2016-10-27 04:00:00",239,12.65,698.1723,1970,1970,1969,1969,1
"2016-10-27 05:00:00",240,12.65,687.5654,1970,1970,1969,1969,1
"2016-10-27 06:00:00",241,12.64,662.5091,1970,1970,1969,1969,1
"2016-10-27 07:00:00",242,12.63,652.9694,1970,1970,1969,1969,1
"2016-10-27 08:00:00",243,12.63,653.6163,1970,1970,1969,1969,1
"2016-10-27 09:00:00",244,12.66,644.2231,1970,1970,1969,1969,1
"2016-10-27 10:00:00",245,12.69,631.003,1970,1970,1969,1969,1
"2016-10-27 11:00:00",246,12.74,618.4788,1970,1970,1969,1969,1
"2016-10-27 12:00:00",247,12.84,614.304,1970,1970,1969,1969,1
"2016-10-27 13:00:00",248,12.89,610.8251,1970,1970,1969,1969,1
"2016-10-27 14:00:00",249,13.06,602.4756,1970,1970,1969,1969,1
"2016-10-27 15:00:00",250,13.04,582.6455,1970,1970,1969,1969,1
"2016-10-27 16:00:00",251,12.92,580.5582,1970,1970,1969,1969,1
"2016-10-27 17:00:00",252,12.83,572.9045,1970,1970,1969,1969,1
"2016-10-27 18:00:00",253,12.75,562.2845,1970,1970,1969,1969,1
"2016-10-27 19:00:00",254,12.71,549.3757,1970,1970,1969,1969,1
"2016-10-27 20:00:00",255,12.68,539.0782,1970,1970,1969,1969,1
"2016-10-27 21:00:00",256,12.67,531.0389,1970,1970,1969,1969,1
"2016-10-27 22:00:00",257,12.67,530.8101,1970,1970,1969,1969,1
"2016-10-27 23:00:00",258,12.66,531.0339,1970,1970,1969,1969,1
